proteome,data,mdl,term,estimate,std.error,statistic,p.value,conf.low,conf.high,identified_as
NP_958782,,,expr_level,-0.26679883359296475,0.2664966297042834,-1.0011339876568672,0.31676203538992287,-0.811697441470904,0.2450251265656966,insignificant
NP_958785,,,expr_level,-0.26781069245950323,0.26571907486281476,-1.0078715372532752,0.31351613733577355,-0.811294947059566,0.24236419562425976,insignificant
NP_958786,,,expr_level,-0.2687238656587889,0.2658854767971216,-1.0106752309146734,0.31217189574070664,-0.8126178049891637,0.24170688948093075,insignificant
NP_000436,,,expr_level,-0.2592899383358768,0.2658795981176836,-0.9752156245591659,0.3294533133474295,-0.8028594245717487,0.25149026343042147,insignificant
NP_958781,,,expr_level,-0.2652994996337333,0.26554557928128714,-0.999073305425683,0.31775918157346034,-0.8083176627158153,0.24465208618336984,insignificant
NP_958780,,,expr_level,-0.2657220398346252,0.26575300921051837,-0.9998834655683292,0.31736690699066833,-0.8091536055063756,0.24464698346090408,insignificant
NP_958783,,,expr_level,-0.2660146054986062,0.2655340507658503,-1.0018097668881634,0.31643547916831555,-0.8090758665106516,0.24385539971107476,insignificant
NP_958784,,,expr_level,-0.2661070009762475,0.26551452618859217,-1.0022314213695205,0.3162318354015658,-0.8091316803785745,0.2437214653006558,insignificant
NP_112598,,,expr_level,0.02134707520680592,0.1220051335150124,0.17496866395526892,0.8611042562632616,-0.2226600510098611,0.2612440871126338,insignificant
NP_001611,,,expr_level,0.21602988045439878,0.17494034607363673,1.234877404229362,0.21687613409303885,-0.11803048644683538,0.5758470577634076,insignificant
NP_076965,,,expr_level,0.1353493168864011,0.1711409391926007,0.790864637794701,0.4290229858012043,-0.19596091969684037,0.4826463728026383,insignificant
NP_001367,,,expr_level,-0.8756683809315873,0.36679787610171866,-2.387332201151435,0.01697114813889951,-1.6644675521464853,-0.20664634575825244,significant
NP_036222,,,expr_level,-0.12940459103423285,0.2381433833519089,-0.5433894035300963,0.5868617199894792,-0.6107949633654849,0.3331418298861528,insignificant
NP_001138241,,,expr_level,-0.40100869816834095,0.2307662881473203,-1.7377265171086798,0.08225901398486153,-0.8867049775090983,0.02022250454436901,insignificant
NP_001714,,,expr_level,-0.2564529812190221,0.15802900170021594,-1.6228222570532866,0.10462740641098249,-0.5908578235108976,0.03507036138504672,insignificant
NP_002464,,,expr_level,-0.37552311148235495,0.2603449282237962,-1.4424060958066753,0.14918784519808823,-0.917335884203948,0.11830176325331347,insignificant
NP_001073936,,,expr_level,-0.06543100825563483,0.16099966756014963,-0.4064046171473599,0.6844453277463026,-0.3926572954722841,0.2471472319338942,insignificant
NP_061198,,,expr_level,0.09011695980671583,0.19163804433617732,0.47024566608825286,0.6381795114027653,-0.29100691179432586,0.4692783428021427,insignificant
NP_001074248,,,expr_level,-0.6912645923260933,0.24041471686727103,-2.875300652695604,0.004036429417959631,-1.2183929938992804,-0.26559981099359514,significant
NP_001074419,,,expr_level,-0.6826200942833787,0.23840217513332007,-2.863313197128514,0.004192359365380939,-1.2047767139276504,-0.2600595369687396,significant
NP_056009,,,expr_level,-0.24388784695344784,0.2159345491308699,-1.1294526417152286,0.2587069367751023,-0.6814796287538726,0.17412435585008543,insignificant
NP_036355,,,expr_level,-0.4053361048645416,0.2179801640676743,-1.859509128264995,0.06295500659188363,-0.8592704080723508,0.005493574486074999,insignificant
NP_001155291,,,expr_level,-0.40566374295612173,0.21849898040496035,-1.8565932994482401,0.06336903796276852,-0.8607747082242158,0.00608312028338853,insignificant
NP_002462,,,expr_level,-0.06986706091764572,0.13276291356375794,-0.5262543510247146,0.5987114953707509,-0.3337611900799047,0.19302157569337355,insignificant
NP_000248,,,expr_level,-0.08208354030793295,0.1551096762933156,-0.529196773982761,0.5966689543528703,-0.3928904664308031,0.22233544441963696,insignificant
NP_036467,,,expr_level,-0.30536923845856123,0.20708969590921356,-1.4745747591055067,0.14032690504639622,-0.7358628771954548,0.08454330924125396,insignificant
NP_004989,,,expr_level,-0.6796472279064897,0.2632638545897995,-2.58161998336411,0.009833780180983315,-1.2399351846110986,-0.19428058205682439,significant
NP_001243024,,,expr_level,-0.5748494394890932,0.2643523731640325,-2.174557514308355,0.02966329101714323,-1.1254230629369673,-0.08017410089717866,significant
NP_149043,,,expr_level,-0.19172530942814206,0.1891208122230885,-1.0137716054327288,0.31069174719744713,-0.5800609867331508,0.16980717922893823,insignificant
NP_002461,,,expr_level,-0.10471361342573789,0.18018230812718583,-0.5811536910262209,0.5611368752575183,-0.46215763177192637,0.2525234096004225,insignificant
NP_060003,,,expr_level,-0.28804451132977865,0.1723948067117243,-1.6708421606425874,0.09475285846412612,-0.6395300367750507,0.043323142489183224,insignificant
NP_003793,,,expr_level,-0.20515188916336582,0.18640286797994926,-1.100583330002376,0.27107804401019103,-0.5795268190091953,0.15951344461869732,insignificant
NP_060004,,,expr_level,-0.27592181865810134,0.18307653807650728,-1.507139153695348,0.1317749926118518,-0.6477612816519056,0.07788205652126651,insignificant
NP_005954,,,expr_level,-0.3088535581954997,0.17266463291693934,-1.788748239739833,0.07365537021246825,-0.6623658626146798,0.021753776198151262,insignificant
NP_002463,,,expr_level,-0.309473216267794,0.17296357071098278,-1.7892392889189075,0.07357628676366816,-0.6615794870057735,0.02332385388281357,insignificant
NP_689914,,,expr_level,0.18709413671504369,0.2540680204187712,0.7363938854117222,0.4614910247374818,-0.28864076251815574,0.7207939229167221,insignificant
NP_001242941,,,expr_level,-0.5759867633625527,0.26444007397823893,-2.1781372040077076,0.029395823499932052,-1.1265897700812617,-0.08094629365480753,significant
NP_065935,,,expr_level,-0.23149245640156937,0.16584739903913798,-1.395816019682889,0.16276990502546795,-0.5669416330813085,0.09127288039556652,insignificant
NP_008974,,,expr_level,-0.009655220478573192,0.25691988278648054,-0.03758066668042736,0.9700220227857624,-0.5153298075536777,0.5041803488834476,insignificant
NP_001242970,,,expr_level,-0.5909184945700848,0.23689730260740985,-2.4944078639399487,0.01261674767187053,-1.0875622178633333,-0.14865937010234032,significant
NP_002465,,,expr_level,-0.24267582482744626,0.13460656105644678,-1.8028528693016757,0.07141132450750519,-0.5369957320192869,-0.004952666875779193,insignificant
NP_005955,,,expr_level,-0.5737378342126541,0.2645155600625106,-2.1690135509497734,0.030081655130877835,-1.1246573932331094,-0.07879122848597399,significant
NP_001035202,,,expr_level,-0.24659003591861212,0.13597137029089526,-1.8135438025744746,0.06974798909799935,-0.5440077960264941,-0.006782636100545233,insignificant
NP_001070654,,,expr_level,-0.1371338568477255,0.1525305391665431,-0.8990583629812882,0.3686215744615783,-0.44674330880056573,0.15892485821258218,insignificant
NP_079005,,,expr_level,-0.13686288730104545,0.15231104158073813,-0.8985749547809125,0.3688791039893335,-0.4460313651829233,0.15873513222471808,insignificant
NP_000250,,,expr_level,-0.25375713018563084,0.2827064714141854,-0.897599297661136,0.36939921361582145,-0.8269533606916972,0.29734519964221595,insignificant
NP_878918,,,expr_level,-0.4974836205121593,0.26249330729934833,-1.8952240178254416,0.05806272950219554,-1.0469101874888647,-0.004923082387159687,insignificant
