proteome,data,mdl,term,estimate,std.error,statistic,p.value,conf.low,conf.high,identified_as
NP_958782,,,expr_level,0.24502567385408305,0.2632178657387028,0.93088542134644,0.35191283652206706,-0.2687315487836542,0.7767852368320949,insignificant
NP_958785,,,expr_level,0.2410918296541989,0.2622187511613919,0.9194301650296942,0.35787061742503923,-0.2708812260396496,0.7707472331985686,insignificant
NP_958786,,,expr_level,0.23936112620780498,0.26226354857514256,0.9126740163024383,0.3614140135969219,-0.272811477934225,0.7689993836784481,insignificant
NP_000436,,,expr_level,0.23855466642971143,0.26257223499190646,0.9085296716047097,0.3635984445198764,-0.2743503176441652,0.7687594398295275,insignificant
NP_958781,,,expr_level,0.24134092812166055,0.26216135100220456,0.9205816463755983,0.3572688880958499,-0.27051587250591025,0.7708869665740862,insignificant
NP_958780,,,expr_level,0.24118139715842854,0.2623907535601449,0.919168811728517,0.3580072815138616,-0.2711138594105715,0.7711871181646225,insignificant
NP_958783,,,expr_level,0.2404497203237803,0.26206052403558616,0.9175350664075173,0.358862326334115,-0.2712701477496821,0.7697338106870419,insignificant
NP_958784,,,expr_level,0.2405302651416519,0.26203904817294577,0.9179176417359826,0.3586619848388174,-0.2711428338516239,0.7697724044700359,insignificant
NP_112598,,,expr_level,-0.11299412626952271,0.12813084760393723,-0.8818651275826775,0.3778497471393117,-0.37618028635312517,0.1322082277739056,insignificant
NP_001611,,,expr_level,0.4622863650629417,0.19777620159641116,2.3374215973987558,0.019417273222751403,0.09688694707412954,0.8823723849442041,significant
NP_076965,,,expr_level,0.2591120936588658,0.17941627741739016,1.4441950161304093,0.14868412644128284,-0.08237265899781693,0.6294371804883953,insignificant
NP_001367,,,expr_level,0.05667247981451725,0.3085277660752906,0.18368680568181783,0.8542591603246783,-0.5558357702384248,0.669931606014073,insignificant
NP_036222,,,expr_level,0.1943557794219742,0.23853253085060125,0.8147977918521477,0.41518806511225764,-0.2734851559625103,0.6723704811578662,insignificant
NP_001138241,,,expr_level,0.21440559899657713,0.19237766306291598,1.1145036049557222,0.2650631987815225,-0.16267590637169366,0.6128272403303486,insignificant
